,player,player_id
0,Tariq Abdul-Wahad,1505
1,Courtney Alexander,2042
2,Kenny Anderson,72
3,Robert Archibald,2425
4,Brandon Armstrong,2220
5,Dana Barros,344
6,Mengke Bateer,2370
7,Lonny Baxter,2437
8,Jerome Beasley,2602
9,Troy Bell,2559
10,Corie Blount,916
11,Ruben Boumtje-Boumtje,2257
12,J.R. Bremer,2452
13,Jamison Brewer,2249
14,Ernest Brown,2081
15,Kedrick Brown,2208
16,Mitchell Butler,348
17,Maurice Carter,2466
18,Doug Christie,57
19,Keon Clark,1721
20,Derrick Coleman,934
21,Bimbo Coles,902
22,Chris Crawford,1544
23,Michael Curry,688
24,Hubert Davis,93
25,Andrew DeClercq,692
26,Derrick Dial,1760
27,Bryce Drew,1724
28,Obinna Ekezie,1918
29,Evan Eschmeyer,1915
30,Desmond Ferguson,2724
31,Alton Ford,2228
32,Tremaine Fowlkes,1762
33,Rick Fox,296
34,Hiram Fuller,2673
35,Alex Garcia,2682
36,Kendall Gill,383
37,Dion Glover,1901
38,Horace Grant,270
39,Paul Grant,1514
40,Marcus Haislip,2409
41,Zendon Hamilton,1985
42,Travis Hansen,2580
43,Anfernee Hardaway,358
44,Lucious Harris,446
45,Donnell Harvey,2051
46,Shane Heal,1049
47,Tyrone Hill,238
48,Allan Houston,275
49,Ryan Humphrey,2415
50,Mark Jackson,349
51,Chris Jefferies,2423
52,Britton Johnsen,2639
53,Avery Johnson,422
54,Popeye Jones,461
55,Kerry Kittles,954
56,Rusty LaRue,1601
57,Sean Lampley,2253
58,Dan Langhi,2061
59,Quincy Lewis,1900
60,Raul Lopez,2221
61,Todd MacCulloch,1928
62,Karl Malone,252
63,Jamal Mashburn,469
64,Amal McCaskill,1043
65,Oliver Miller,932
66,Jerome Moiso,2040
67,Tracy Murray,145
68,Charles Oakley,891
69,Doug Overton,77
70,Robert Pack,123
71,Cherokee Parks,685
72,Desmond Penigar,2667
73,Scottie Pippen,937
74,Olden Polynice,178
75,Glen Rice,779
76,Eddie Robinson,1944
77,Sean Rooks,399
78,Ansu Sesay,1738
79,Tamar Slay,2447
80,Leon Smith,1910
81,Theron Smith,2604
82,Vladimir Stepania,1735
83,Rod Strickland,393
84,Gary Trent,718
85,Jeff Trepagnier,2244
86,Cezary Trybanski,2456
87,Slavko Vranes,2582
88,Dajuan Wagner,2402
89,Samaki Walker,955
90,John Wallace,961
91,Charlie Ward,369
92,Jahidi White,1751
93,Chris Whitney,43
94,Scott Williams,281
95,Wang Zhi-zhi,1917
96,Cory Alexander,724
97,Maurice Baker,2486
98,Jon Barry,468
99,Travis Best,696
100,Tony Bobbitt,2800
101,Curtis Borchardt,2414
102,Shawn Bradley,762
103,Torraye Braggs,1765
104,Damone Brown,2245
105,Tierre Brown,2357
106,Rodney Buford,1934
107,Elden Campbell,922
108,Geno Carlisle,2367
109,Lionel Chalmers,2763
110,Mateen Cleaves,2043
111,Jason Collier,2044
112,Omar Cook,2241
113,Erik Daniels,2845
114,Antonio Davis,213
115,Josh Davis,2668
116,Vlade Divac,124
117,Predrag Drobnjak,1542
118,Ndudi Ebi,2569
119,Corsley Edwards,2451
120,Luis Flores,2784
121,Lawrence Funderburke,1444
122,Reece Gaines,2558
123,Anthony Goldwire,924
124,Tom Gugliotta,339
125,Darvin Ham,1032
126,Ben Handlogten,1052
127,Fred Hoiberg,697
128,Brandon Hunter,2599
129,Horace Jenkins,2798
130,Mark Jones,2891
131,Brandin Knight,2688
132,Ibrahim Kutluay,2825
133,Christian Laettner,363
134,George Lynch,248
135,Tony Massenburg,763
136,Ron Mercer,1500
137,Anthony Miller,292
138,Reggie Miller,397
139,Mamadou N'diaye,2055
140,Lee Nailon,1924
141,Greg Ostertag,731
142,Anthony Peeler,324
143,Kirk Penney,2632
144,Wesley Person,445
145,Mark Pope,998
146,Laron Profit,1919
147,Aleksandar Radojevic,1893
148,Peter John Ramos,2762
149,Glenn Robinson,299
150,Rodney Rogers,915
151,Bryon Russell,935
152,Daniel Santiago,2091
153,Paul Shirley,2321
154,Jabari Smith,2074
155,Steven Smith,120
156,Latrell Sprewell,84
157,Michael Stewart,1565
158,Erick Strickland,1065
159,Bruno Sundov,1743
160,Bob Sura,682
161,Yuta Tabuse,2657
162,Robert Traylor,1714
163,Jackson Vroman,2761
164,Clar. Weatherspoon,221
165,Rodney White,2206
166,Frank Williams,2421
167,Jerome Williams,966
168,Shandon Anderson,1000
169,Martynas Andriuskevicius,101149
170,Stacey Augmon,278
171,Vin Baker,452
172,Eddie Basden,101188
173,Michael Bradley,2214
174,Rick Brunson,1594
175,Antonio Burks,2766
176,Kevin Burleson,101207
177,Zarko Cabarkapa,2560
178,Calbert Cheaney,384
179,Tony Delk,960
180,John Edwards,2823
181,Howard Eisley,458
182,Noel Felix,101230
183,Gerald Fitch,2809
184,Marcus Fizer,2033
185,Sharrod Ford,101213
186,Richie Frahm,2499
187,Deng Gai,101184
188,Eddie Gill,2109
189,Brian Grant,258
190,Devin Green,101209
191,Eddie Griffin,2204
192,Anthony Grundy,101219
193,Ha Ha,2775
194,Julius Hodge,101125
195,Randy Holcomb,2450
196,Jermaine Jackson,1983
197,Jim Jackson,754
198,Ervin Johnson,911
199,Mario Kasun,2435
200,Toni Kukoc,389
201,Maciej Lampe,2573
202,Voshon Lenard,702
203,Arvydas Macijauskas,101178
204,Walter McCarty,962
205,Aaron Miles,101223
206,Sergei Monia,2752
207,Terence Morris,2242
208,Lamond Murray,441
209,Boniface Ndong,101238
210,Moochie Norris,983
211,Scott Padgett,1909
212,Milt Palacio,1960
213,Zoran Planinic,2565
214,Pavel Podkolzin,2750
215,Zeljko Rebraca,1442
216,Justin Reed,2770
217,Melvin Sanders,2684
218,Alex Scales,2637
219,Charles Smith,1520
220,Donta Smith,2764
221,Chris Taft,101147
222,Maurice Taylor,1508
223,James Thomas,2839
224,John Thomas,1519
225,Nikoloz Tskitishvili,2401
226,Nick Van Exel,89
227,Keith Van Horn,1496
228,Matt Walsh,101190
229,Jiri Welsch,2412
230,Robert Whaley,101156
231,Alvin Williams,1541
232,Eric Williams,677
233,Qyntel Woods,2417
234,Derrick Zimmerman,2583
235,Hassan Adams,200801
236,Rafael Araujo,2737
237,Andre Barrett,2857
238,Esteban Batista,101212
239,Will Blalock,200807
240,Cedric Bozeman,200841
241,Dee Brown,200793
242,Pat Burke,2469
243,Jackie Butler,2866
244,Kelvin Cato,1509
245,Will Conroy,101215
246,Dale Davis,905
247,Daniel Ewing,101137
248,Danny Fortson,1504
249,Matt Freije,2782
250,Jorge Garbajosa,200816
251,Andreas Glyniadakis,2601
252,Orien Greene,101158
253,Lynn Greer,2696
254,Mike Hall,200837
255,Junior Harrington,2454
256,Alan Henderson,673
257,Robert Hite,200823
258,Troy Hudson,1607
259,Mile Ilic,101148
260,Luke Jackson,2739
261,Marc Jackson,1531
262,Sarunas Jasikevicius,101180
263,Jumaine Jones,1908
264,Viktor Khryapa,2751
265,Yaroslav Korolev,101117
266,James Lang,2591
267,Randy Livingston,988
268,Renaldo Major,200970
269,Damir Markota,200806
270,Rawle Marshall,101185
271,Darrick Martin,239
272,Chris McCray,200840
273,Ivan McFarlin,200829
274,Jeff McInnis,976
275,Aaron McKie,243
276,Keith McLeod,2693
277,Slava Medvedenko,2098
278,David Noel,200786
279,Michael Olowokandi,1709
280,Bo Outlaw,448
281,Ruben Patterson,1739
282,Gary Payton,56
283,Kevinn Pinkney,200838
284,Vitaly Potapenko,958
285,Roger Powell,101232
286,Allan Ray,200810
287,Jared Reiner,2876
288,Lawrence Roberts,101160
289,Bernard Robinson,2774
290,Clifford Robinson,361
291,Jalen Rose,147
292,Jamal Sampson,2441
293,Luke Schenscher,101195
294,Wayne Simien,101134
295,Uros Slokar,101166
296,Pape Sow,2776
297,Vassilis Spanoulis,2779
298,Michael Sweetney,2552
299,Donell Taylor,101182
300,Dijon Thompson,101159
301,Jake Tsakalidis,2054
302,Marcus Vinicius,200790
303,Chris Webber,185
304,David Wesley,133
305,Aaron Williams,1425
306,Justin Williams,200818
307,Shammond Williams,1742
308,Corliss Williamson,722
309,Kevin Willis,788
310,Bracey Wright,101152
311,Shareef Abdur-Rahim,949
312,Lance Allred,200984
313,Derek Anderson,1507
314,Darrell Armstrong,353
315,James Augustine,200788
316,Andre Brown,2810
317,P.J. Brown,136
318,Sam Cassell,208
319,Austin Croshere,1506
320,JamesOn Curry,201191
321,Paul Davis,200781
322,Guillermo Diaz,200799
323,Dan Dickau,2424
324,Kaniel Dickens,2079
325,Michael Doleac,1720
326,Ronald Dupree,2648
327,Nick Fazekas,201174
328,Steve Francis,1883
329,Pat Garrity,1727
330,Gordan Giricek,1921
331,Taurean Green,201192
332,Adrian Griffin,1559
333,Othella Harrington,970
334,David Harrison,2758
335,Herbert Hill,201195
336,Robert Horry,109
337,Casey Jacobsen,2418
338,Alexander Johnson,200792
339,DerMarr Johnson,2035
340,Bobby Jones,200784
341,Eddie Jones,224
342,Raef LaFrentz,1711
343,Keith Langford,101247
344,Stephane Lasme,201186
345,Jelani McCoy,1741
346,Alonzo Mourning,297
347,Bostjan Nachbar,2411
348,Juan Carlos Navarro,2434
349,Ira Newble,1956
350,Demetris Nichols,201193
351,Andre Owens,101261
352,Smush Parker,2470
353,Kosta Perovic,200785
354,Eric Piatkowski,15
355,Scot Pollard,1513
356,Kasib Powell,2867
357,Cheikh Samb,200798
358,Eric Snow,727
359,Kirk Snyder,2745
360,Awvee Storey,2852
361,Damon Stoudamire,757
362,Salim Stoudamire,101136
363,DJ Strawberry,201199
364,Billy Thomas,2873
365,Antoine Walker,952
366,Darius Washington,200827
367,Bonzi Wells,1719
368,Loren Woods,2254
369,Alex Acker,101165
370,Maurice Ager,200772
371,Brent Barry,699
372,Maceo Baston,1766
373,Mark Blount,1548
374,Calvin Booth,1916
375,Bruce Bowen,1477
376,Ryan Bowen,1763
377,Greg Buckner,1761
378,Speedy Claxton,2049
379,Joe Crawford,201621
380,Javaris Crittenton,201159
381,Jermareo Davidson,201176
382,Ricky Davis,1729
383,Juan Dixon,2413
384,Quincy Douby,200763
385,Desmon Farmer,2824
386,Adonal Foyle,1502
387,Thomas Gardner,201242
388,Matt Harpring,1723
389,Jason Hart,2078
390,Walter Herrmann,200835
391,Steven Hill,201631
392,Lindsey Hunter,283
393,Othello Hunter,201629
394,Bobby Jackson,1517
395,Jerome James,1744
396,Marko Jaric,2060
397,Dontell Jefferson,200971
398,Linton Johnson,2669
399,Damon Jones,1800
400,Fred Jones,2410
401,Tarence Kinsey,200814
402,Brevin Knight,1510
403,Rob Kurz,201633
404,Tyronn Lue,1731
405,Mark Madsen,2058
406,Stephon Marbury,950
407,Donyell Marshall,923
408,Desmond Mason,2046
409,Rashad McCants,101119
410,Pops Mensah-Bonsu,200822
411,Chris Mihm,2036
412,Darius Miles,2032
413,Cuttino Mobley,1749
414,Dikembe Mutombo,87
415,DeMarcus Nelson,201634
416,Gabe Pruitt,201172
417,Jeremy Richardson,200978
418,Anthony Roberson,101194
419,Malik Rose,990
420,Michael Ruffin,1913
421,Kareem Rush,2416
422,Mouhamed Sene,200754
423,Walter Sharpe,201594
424,Cedric Simmons,200759
425,Courtney Sims,201235
426,Sean Singletary,201606
427,Will Solomon,2226
428,Sun Sun,201180
429,Robert Swift,2741
430,Stromile Swift,2031
431,Wally Szczerbiak,1887
432,Mike Taylor,201446
433,Kenny Thomas,1903
434,Alando Tucker,201169
435,Roko Ukic,101146
436,Jacque Vaughn,1521
437,Jake Voskuhl,2063
438,Mike Wilks,2366
439,Marcus Williams,201173
440,Lorenzen Wright,953
441,Joe Alexander,201570
442,Rafer Alston,1747
443,Antonio Anderson,202079
444,Chucky Atkins,1088
445,Jonathan Bender,1886
446,Josh Boone,200767
447,Primoz Brezec,2056
448,Devin Brown,2484
449,Brian Butch,202221
450,Rodney Carney,200760
451,Jarron Collins,2260
452,Mardy Collins,200776
453,Yakhouba Diawara,200821
454,Travis Diener,101143
455,Michael Finley,714
456,Tony Gaffney,202070
457,Devean George,1904
458,J.R. Giddens,201592
459,Trey Gilder,201821
460,Taylor Griffin,201981
461,Malik Hairston,201612
462,Mike Harris,200839
463,Kenny Hasbrouck,202238
464,Trenton Hassell,2239
465,Jarvis Hayes,2553
466,Luther Head,101129
467,Larry Hughes,1716
468,Chris Hunter,201805
469,Steven Hunter,2212
470,Allen Iverson,947
471,Cedric Jackson,202132
472,Nathan Jawai,201605
473,Curtis Jerrells,201998
474,Anthony Johnson,1533
475,Dwayne Jones,101204
476,Coby Karl,201207
477,Oliver Lafayette,201802
478,Marcus Landry,202068
479,Sean Marks,1752
480,Sean May,101118
481,Randolph Morris,201043
482,Adam Morrison,200747
483,Flip Murray,2436
484,Rasho Nesterovic,1725
485,Patrick O'Bryant,200753
486,Fabricio Oberto,101177
487,Kevin Ollie,1563
488,Oleksiy Pecherov,200762
489,Morris Peterson,2050
490,Chris Richard,201181
491,Quinton Ross,2624
492,Brian Skinner,1730
493,Jermaine Taylor,201966
494,Tim Thomas,1501
495,Ime Udoka,2137
496,Rasheed Wallace,739
497,Kyle Weaver,201602
498,Jason Williams,1715
499,Jawad Williams,101214
500,Antoine Wright,101120
501,Malik Allen,2124
502,David Andersen,2431
503,Carlos Arroyo,2306
504,Renaldo Balkman,200764
505,Marcus Banks,2556
506,Charlie Bell,2294
507,Marqus Blakely,202392
508,Da'Sean Butler,202364
509,Derrick Caracter,202382
510,Anthony Carter,1853
511,Sherron Collins,202395
512,Marcus Cousin,202408
513,Antonio Daniels,1498
514,Ike Diogu,101113
515,Zabian Dowdell,202220
516,Francisco Elson,1922
517,Patrick Ewing,201607
518,T.J. Ford,2551
519,Joey Graham,101121
520,Stephen Graham,101211
521,Eddie House,2067
522,Zydrunas Ilgauskas,980
523,Darnell Jackson,201616
524,Pooh Jeter,200817
525,Trey Johnson,201234
526,Solomon Jones,200780
527,Jason Kapono,2574
528,Nenad Krstic,2420
529,Acie Law,201151
530,Gani Lawal,202371
531,DJ Mbenga,2788
532,Antonio McDyess,686
533,Hamady Ndiaye,202380
534,Andres Nocioni,2804
535,Shaquille O'Neal,406
536,Mehmet Okur,2246
537,Larry Owens,202082
538,James Posey,1899
539,Leon Powe,200796
540,Theo Ratliff,689
541,Andy Rautins,202360
542,Magnum Rolle,202375
543,Mustafa Shakur,201203
544,Garret Siler,202081
545,Joe Smith,693
546,Darius Songaila,2443
547,Peja Stojakovic,978
548,Pape Sy,202377
549,Etan Thomas,2041
550,Al Thornton,201154
551,Robert Vaden,201987
552,Willie Warren,202378
553,Sonny Weems,201603
554,Mario West,201238
555,Terrico White,202358
556,Julian Wright,201153
557,Yao Ming,2397
558,Blake Ahearn,201336
559,Solomon Alabi,202374
560,Morris Almond,201165
561,Gilbert Arenas,2240
562,Kelenna Azubuike,101235
563,Tony Battie,1499
564,Raja Bell,1952
565,Keith Benson,202728
566,Mike Bibby,1710
567,Earl Boykins,1863
568,Craig Brackins,202342
569,Jon Brockman,201972
570,Derrick Brown,201974
